ingroup,outgroup,moral,threat,unity,score,candidate,result
14.83239395,10.38267576,5.339661821,3.559774548,8.899436369,35.00444972,Andy Beshear,Winner
30.73770492,9.221311475,5.635245902,3.586065574,15.36885246,50.71721311,Andy Beshear,Winner
23.70329057,12.54880089,5.019520357,4.182933631,8.365867262,46.29113218,Andy Beshear,Winner
17.37451737,21.23552124,12.54826255,9.652509653,19.30501931,62.74131274,Andy Beshear,Winner
19.00739176,8.447729673,6.335797254,3.167898627,0,36.95881732,Athony Brown,Loser
25.23916141,13.23020558,2.442499491,3.053124364,2.035416243,44.16853246,Athony Brown,Loser
5.994005994,0,0,0.999000999,0,6.993006993,Charlie Baker,Winner
10.55743243,7.601351351,1.900337838,1.900337838,2.111486486,22.17060811,Charlie Baker,Winner
8.809710258,3.719655442,1.174628034,1.370399374,1.957713391,7.635082224,Charlie Baker,Winner
0,0,0,0,0,0,Charlie Baker,Winner
6.906077348,7.73480663,3.038674033,3.314917127,5.524861878,21.54696133,Kris Kobach,Loser
14.14514145,12.91512915,3.07503075,3.07503075,3.07503075,33.51783518,Kris Kobach,Loser
41.26213592,0,0,14.5631068,0,55.82524272,Larry Hogan,Winner
18.73111782,13.6958711,6.64652568,9.667673716,10.07049345,49.74823766,Larry Hogan,Winner
22.14170692,5.233494364,2.415458937,3.220611916,4.025764895,22.9468599,Laura Kelly,Winner
12.17730151,8.767657087,3.409644423,4.870920604,4.870920604,29.71261568,Laura Kelly,Winner
16.57824934,0.6631299735,0,3.978779841,0,7.957559682,Martha Coakley,Loser
13.83891503,10.51757542,2.767783006,2.214226405,2.767783006,13.28535843,Martha Coakley,Loser
17.00680272,18.22157434,2.915451895,3.644314869,0,17.73566569,Martha Coakley,Loser
61.2244898,0,0,10.20408163,0,71.42857143,Martha Coakley,Loser
33.51351351,19.45945946,8.648648649,5.405405405,32.43243243,70.27027027,Matt Bevin,Loser
10.34482759,11.49425287,3.448275862,1.83908046,2.298850575,27.35632184,Matt Bevin,Loser
11.0775428,9.566968781,4.028197382,1.510574018,5.035246727,21.65156093,Matt Bevin,Loser
7.148263392,0.8409721638,0.4204860819,0.5045832983,3.363888655,8.746110504,Matt Bevin,Loser
20.13914317,4.393994874,1.830831197,4.027828634,7.323324789,4.393994874,Phil Scott,Winner
21.4050494,9.055982437,3.018660812,4.939626784,8.232711306,25.24698134,Sue Minter,Loser
